"filename", "language", "Python", "YAML", "Django txt", "Docker", "Ini", "Shell Script", "Django HTML", "Markdown", "JSON", "JavaScript", "CSS", "SCSS", "TypeScript", "XML", "Vue", "Properties", "comment", "blank", "total"
"/home/mahdi/Desktop/finwise/finwise/backend/requestcall/getTVData.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 38
"/home/mahdi/Desktop/finwise/finwise/backend/requestcall/getTickerData.py", "Python", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 28, 248
"/home/mahdi/Desktop/finwise/finwise/backend/requestcall/getTickerTapeData.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 68
"/home/mahdi/Desktop/finwise/finwise/backend/requestcall/getTseData.py", "Python", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 40, 284
"/home/mahdi/Desktop/finwise/finwise/backend/requestcall/getViewOptionAssetVolatility.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/home/mahdi/Desktop/finwise/finwise/backend/requestcall/treeMapData.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 9, 88
"/home/mahdi/Desktop/finwise/finwise/backend/requestcall/util/Convereter_trunc.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 35
"/home/mahdi/Desktop/finwise/finwise/backend/requestcall/util/dataAlterTest.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 15
"/home/mahdi/Desktop/finwise/finwise/backend/requirements.txt", "Django txt", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51
"/home/mahdi/Desktop/finwise/finwise/backend/scripts/dev/Dockerfile", "Docker", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/home/mahdi/Desktop/finwise/finwise/backend/scripts/start_asgi.sh", "Shell Script", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"/home/mahdi/Desktop/finwise/finwise/backend/scripts/start_dev.sh", "Shell Script", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 9
"/home/mahdi/Desktop/finwise/finwise/backend/scripts/start_prod.sh", "Shell Script", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 10
"/home/mahdi/Desktop/finwise/finwise/backend/users/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/mahdi/Desktop/finwise/finwise/backend/users/admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/mahdi/Desktop/finwise/finwise/backend/users/apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/home/mahdi/Desktop/finwise/finwise/backend/users/auth/Verification.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 28
"/home/mahdi/Desktop/finwise/finwise/backend/users/models.py", "Python", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 24
"/home/mahdi/Desktop/finwise/finwise/backend/users/schema.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 39
"/home/mahdi/Desktop/finwise/finwise/backend/users/templates/email/activation_email.html", "Django HTML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"/home/mahdi/Desktop/finwise/finwise/backend/users/templates/email/activation_subject.txt", "Django txt", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/mahdi/Desktop/finwise/finwise/backend/users/templates/email/password_reset_email.html", "Django HTML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/home/mahdi/Desktop/finwise/finwise/backend/users/templates/email/password_reset_subject.txt", "Django txt", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/mahdi/Desktop/finwise/finwise/backend/users/tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
